Назва;Номенклатура ОТ (1С);Кінцевий продукт;Код прод. 1С;Формат порізки;Формат порізки (1С);Код поріз.  1С;розкрій;піддон;пачка;№Spec;Лакування;Прогін1;Прогін2;Прогін3;Прогін4;Формат Лакування (1С);Код лак.1С;SAP code;Coil;IC codes of coils;for barcode
0,16x920x778 USK BLANK;M-920-778-160TS480S2828-USK;"Draw can 73x32; 73x36,5  BLANK/ BIL";fff009580;0,16x920x778 2,8/2,8 TS480;M-920-778-160TS480S2828-USK;fff009580;СКРОЛЛ;818х895;1600;---;---;---;---;---;---;---;---;40300553;C-920---180TS275S2828-USK;correct 160TS480S2828;0.16-920-778-TS480-S2828-USK
0,16x942x790 BLANK;M-942-790-160TS340S2020-RAS BLANK;Draw can 73x34;UA0003736;0,16x942x790 2,0/2,0 TS340;M-942-790-160TS340S2020-RAS BLANK;UA0003736;СКРОЛЛ;830х917;1700;---;---;---;---;---;---;---;---; -;C-942---160TS340S2020-RAS;fff010842;0.16-942-790-TS340-S2020-RAS
0,17x838x942 BLANK;T-838-942-170TH550F2820-HBI BLANK;Can body 99/96x48,5  BLANK/ BIL;UA0003734;0,17x838x942 2,0/2,8 TH550;T-838-942-170TH550F2820-HBI BLANK;UA0003734;ПРЯМ;917х813;1500;---;---;---;---;---;---;---;---; ;C-838-----170TH550F2820-HBI;correct 170TH550F2820;0.17-838-942-TH550-F2820-HBI
0,17x894x944  BLANK;T-894-944-170TH550F2828-HBI;0,17x894x944  BLANK;UA0000213;T-894-944-170TH550F2828-HBI;T-894-944-170TH550F2828-HBI;UA0000213;ПРЯМ;770х869;1600;---;---;---;---;---;---;---;---; ;C-894---170TH550S2828-HBI;fff011062;0.17-894-944-TH550-F2828-HBI
0,20x908x1112 BLANK;T-908-1112-200TS260S2828-USK BLANK;Draw can  99x48,5 BLANK BIL;UA0003740;0,20x908x1112 2,8/2,8 TS260;T-908-1112-200TS260S2828-USK BLANK;UA0003740;ПРЯМ;1088х883;1100;---;---;---;---;---;---;---;---;40200317;C-908---200TS260S2828-USK;UA0000015;0.20-908-1112-TS260-S2828-USK
0,17x959x901 BLANK;M-959-901-170TH550F2828-HBI BLANK;OT73;UA0003746;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI BLANK;UA0003746;СКРОЛЛ;920х935;1500;---;---;---;---;---;---;---;---; ;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,14x814x925 G/C;L-814-925-140TS550F2820-RAS-C06K05;73/70x47 G/K;UA0000231;0,14x814x925 2,0/2,8 TS550;T-814-925-140TS550F2028-RAS;fff010157;ПРЯМ;900x789;1500;№92;G/C ;PL1019-34;101 597;;;L-814-925-140TS550F2820-RAS-C06K05;UA0000231;41211022;C-814---140TS550F2820-RAS;correct 140TS550F2028;0.14-814-925-TS550-F2028-RAS
0,15x850x925 2,0/2,8 TS550-TCLR;T-850-925-150TS550S2820-TCLR-RAS;Can body 73/70x57 BLANK/ BIL;UA0000367;0,15x850x925 2,0/2,8 TS550-TCLR;T-850-925-150TS550S2820-TCLR-RAS;UA0000367;ПРЯМ;900х825;1600;---;---;---;---;---;---;---;---; ;C-850---150TS550S2820-TCLR-RAS;fff010528;0.15-850-925-TS550-S2820-TCLR-RAS
0,27x816x925 2,8/5,6 TH435;T-816-925-270TH435S2856-HBI; ;;T-816-925-270TH435S2856-HBI;T-816-925-270TH435S2856-HBI;;ПРЯМ;;;---;---;---;---;---;---;---;---; ;C-816---270TH435S2856-HBI;UA0000014;0.27-816-925-TH435-S2856-HBI
0,14x796x925 G/C;L-796-925-140TS520S2020-RAS-C06K05;73/70x80,4 G/K;UA0000227;T-796-925-140TS520S2020-RAS;T-796-925-140TS520S2020-RAS;fff010156;ПРЯМ;900х771;1700;№85-1;G/C ;PL1019-34;101 597;;;L-796-925-140TS520S2020-RAS-C06K05;UA0000227;41211007;С-796---140TS520S2020-RAS;fff010151;0.14-796-925-TS520-S2020-RAS
0,14x796x925 W/C;L-796-925-140TS520S2020-RAS-20EK05;73/70x83,4 W/K;UA0000228;T-796-925-140TS520S2020-RAS;T-796-925-140TS520S2020-RAS;fff010156;ПРЯМ;900х771;1700;№30-3;BPANI W/C 20E;PL1019-34;16S61EG;DE5449-5;;L-796-925-140TS520S2020-RAS-20EK05;UA0000228;41211008;С-796---140TS520S2020-RAS;fff010151;0.14-796-925-TS520-S2020-RAS
0,225x836,5x712 CKO;Жерсть 0,225*836,5*712 (лист) х СКО; ;UA0000499;Жерсть 0,225*836,5*712 (лист) х СКО;Жерсть 0,225*836,5*712 (лист) х СКО;;;;;---;---;---;---;---;---;---;---; ; ;;
0,14x850x925 G/C;L-850-925-140TS550S2828-RAS-C06K05;73/70x57 G/K;UA0000229;0,14x850x925 2,8/2,8 TS550;T-850-925-140TS550S2828-RAS;fff010158;ПРЯМ;900х825;1600;№71-1  ;G/C;PL1019-34;101 597;;;L-850-925-140TS550S2828-RAS-C06K05;UA0000229;41211005;C-850---140TS550S2828-RAS;fff010154;0.14-850-925-TS550-S2828-RAS
OT070-ELQ7013A4A;OT070-ELQ7013A4A-07CK05-993DE-160TH520F2020-HBI-90300  ;OT070-ELQ7013A4A;UA0007315;0,16x922x868 2,0/2,0 TH520;M-922-868-160TH520F2020-HBI   ;UA0007317;СКРОЛЛ;884х850;1500;70-3 D;G/C ;PL1019-34;816361;;;L-922-868-160TH520F2020-HBI-07CK05   ;UA0007316;48019739;C-922----160TH520F2020-HBI   ;UA0007003;0.16-922-868-TH520-F2020-HBI
0,16x920x778 BLANK;M-920-778-160TS340S2828-RAS;"Draw can 73x36,5 ; 73x32 BLANK/ BIL";fff009533;0,16x920x778 2,8/2,8 TS340;M-920-778-160TS340S2828-RAS;fff009533;СКРОЛЛ;818х895;1600;---;---;---;---;---;---;---;---; ;C-920---160TS340S2828-RAS;fff009371;0.16-920-778-TS340-S2828-RAS
0,14x850x925 BLANK;T-850-925-140TS550S2828-RAS;Can body 73/70x57 BLANK/ BIL;fff010158;0,14x850x925 2,8/2,8 TS550;T-850-925-140TS550S2828-RAS;fff010158;ПРЯМ;900х825;1600;---;---;---;---;---;---;---;---; ;C-850---140TS550S2828-RAS;fff010154;0.14-850-925-TS550-S2828-RAS
OT62-ELQ6216A2A USK;OT062-ELQ6216A2A-15VK05-975HP-170TH435S2828-USK-144000;OT62-ELQ6216A2A USK;UA0000710;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-USK;UA0000708;СКРОЛЛ;830x917;1500;№55-1;W/C 15V;;;;;L-954-848-170TH435S2828-USK-15VK05;UA0000709;48013808;C-954---170TH435S2828-USK;UA0000706;0.17-954-848-TH435-S2828-USK
0,18x894x795 BLANK;T-894-795-180TH550F2850-HBI;Can body 0,18 BLANK;fff011068;0,18x894x795 2,8/5,0 TH550;T-894-795-180TH550F2850-HBI;fff011068;ПРЯМ;770х869;1500;---;BLANK;---;---;---;---;---;---;40202612;C-894---180TH550F2850-HBI;fff011061;0.18-894-795-TH550-F2850-HBI
0,17x894x795 BLANK;T-894-795-170TH550F2828-HBI;Can body 0,17 BLANK;fff011069;0,17x894x795 2,8/2,8 TH550;T-894-795-170TH550F2828-HBI;fff011069;ПРЯМ;770х869;1600;---;BLANK;---;---;---;---;---;---;        ;C-894---170TH550S2828-HBI;fff011062;0.17-894-795-TH550-F2828-HBI
OT096 0,20 ALU/C USK;OT096-A07K05-Argo-200TH550S2828-USK-39000;OT096 0,20 ALU/C USK;UA0000729;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-USK;UA0000698;СКРОЛЛ;900х771;1600;96-1;ALU/C;PL1019-34;28S30WB-1;;;L-808-908-200TH550S2828-USK-A07K05;UA0000730;48012502;С-808---200TH550S2828-USK;UA0000570;0.20-808-908-TH550-S2828-USK
0,18x860x873  BLANK;M-860-873-180TH550F2820-HBI;OT80  BLANK;fff009505;0,18x860x873 2,8/2,0 TH550 ;M-860-873-180TH550F2820-HBI;fff009505;СКРОЛЛ;903х844;1500;---;---;---;---;---;---;---;---; -;С-860---180TH550F2820-HBI;fff009115;0.18-860-873-TH550-F2820-HBI
;OT070-ELQ7013A4A-07CK05-993DE-160TH520S2020-HBI-90300;OT070-ELQ7013A4A;UA0000650;0,16x922x868 2,0/2,0 TH520;M-922-868-160TH520S2020-HBI;fff009871;СКРОЛЛ;884х850;1500;№93;G/C ;PL1019-34;816361;;;L-922-868-160TH520S2020-HBI-07CK05;UA0000752;48015754;C-922---160TH520S2020-HBI;fff009870;0.16-922-868-TH520-S2020-HBI
0,19x895x907 BLANK;M-895-907-190TH550F2820-HBI BLANK;OT83 BLANK;UA0004803;0,19x895x907 2,8/2,0 TH550;M-895-907-190TH550F2820-HBI BLANK;UA0004803;СКРОЛЛ;932х870;1500;---;---;---;---;---;---;---;---;40301782;C-895---190TH550F2820-HBI;fff011066;0.19-895-907-TH550-F2820-HBI
OT153-ELQ1554A0A USK;OT153-ELQ1554A0A-20EB05-727LW-270TH435F5628-USK-12800;OT153-ELQ1554A0A USK;UA0000760;0,27x950x876 5,6/2,8 TH435 USK;M-950-876-270TH435F5628-USK;UA0000758;СКРОЛЛ;920х935;1100;153-1 A;W/G;PL1014-59;819059;816733;;L-950-876-270TH435F5628-USK-20EB05;UA0000759;48004206;C-950---270TH435F5628-USK;UA0000757;0.27-950-876-TH435-F5628-USK
OT153-ELQ1542A3A USK;OT153-ELQ1542A3A-20EB05-727LW-270TH435F5628-USK-14400;OT153-ELQ1542A3A USK;UA0000761;0,27x950x876 5,6/2,8 TH435 USK;M-950-876-270TH435F5628-USK;UA0000758;СКРОЛЛ;920х935;1100;153-1 A;W/G;PL1014-59;819059;816733;;L-950-876-270TH435F5628-USK-20EB05;UA0000759;48004837;C-950---270TH435F5628-USK;UA0000757;0.27-950-876-TH435-F5628-USK
OT70-ELY2060376B;OT70-ELY2060376B-85CB05-993DE-170TH580FECCS-RAS-90300;OT70-ELY2060376B;fff009382;0,17x922x868 ECCS TH580;M-922-868-170TH580FECCS-RAS;fff009380;СКРОЛЛ;884х850;1500;№72;G/G;---;---;---;---;L-922-868-170TH580FECCS-RAS-85CВ05;fff009381; ;C-922---170TH580FECCS-RAS;fff009164;0.17-922-868-TH580-FECCS-RAS
0,18x877x1066 BLANK;T-877-1066-180TS275S2828-USK BLANK;Draw can 99x33 BLANK/ BIL;UA0003737;0,18x877x1066 2,8/2,8 TS275;T-877-1066-180TS275S2828-USK BLANK;UA0003737;ПРЯМ;1041х852;1100;---;---;---;---;---;---;---;---;;С-877---180TS275S2828-USK;fff010346;0.18-877-1066-TS275-S2828-USK
OT153-ELQ0561A2A USK;OT153-ELQ0561A2A-W18B55-727LW-270TH435S2828-USK-12800;OT153-ELQ0561A2A USK;UA0000881;0,27x950x876 2,8/2,8 TH435;M-950-876-270TH435S2828-USK;UA0000879;СКРОЛЛ;940х925;1100;"153-2
";2 W/G;PL1014-59;818062;818062;;L-950-876-270TH435S2828-USK-W18B55;UA0000880;48003111;C-950---270TH435S2828-USK;UA0000860;0.27-950-876-TH435-S2828-USK
OT96 0,20  W/G USK;OT096-V14B05-ARGO-200TH550S2828-USK-39000; ;UA0000898;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-USK;UA0000698;СКРОЛЛ;900х771;1600;№56-1;W/G;PL1014-59;818062;;;L-808-908-200TH550S2828-USK-V14B05;UA0000897  ; ;С-808---200TH550S2828-USK;UA0000570;0.20-808-908-TH550-S2828-USK
OT070-ELQ7013A13A;OT070-ELQ7013A13A-07CK09-993DE-170TH580S2828-HBI-90300;OT070-ELQ7013A13A;UA0001040;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;№96;G/2C;816361;7239901;815225;;L-922-868-170TH580S2828-HBI-07CK09;UA0001039;48017440;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
0,18x830x801 Alu/C;L-830-801-180TS260S2828-USK-IMP-09AK05; ;UA0000652;0,18x830x801 2,8/2,8 TS260;M-830-801-180TS260S2828-USK-IMP;UA0000653;СКРОЛЛ;;;BUF-5 A;Alu/C;PL1019-34;816718;;;L-830-801-180TS260S2828-USK-IMP-09AK05;UA0000652;41204470; ;;0.18-830-801-TS260-S2828-USK
OT99-921XQ 0,18 A55B05 ;OT99-921XQ-180TH550S2828-HBI A55B05-37856;OT99 0,18 A55B05 ;;0,18x838x941, 2,8/2,8 TH550;M-838-941,7-180TH550S2828-HBI;fff007881;СКРОЛЛ;820х942;1500;;ALU/G;PL1014-59;28S30WB-1;;;L-838-941,7-180TH550S2828-HBI-A55B05;;49600248;C-838---180TH550S2828-HBI;fff005454;0.18-838-941.7-TH550-S2828-HBI
OT096-A07B05 Alu/G;OT096-A07B05-ARGO-200TH550S2828-USK-39000;OT096-A07B05 Alu/G;UA0000188;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-USK;UA0000698;СКРОЛЛ;900х771;1600;№89;ALU/G;PL1014-59;28S30WB-1;;;L-808-908-200TH550S2828-USK-A07B05;UA0000189;49600880;С-808---200TH550S2828-USK;UA0000570;0.20-808-908-TH550-S2828-USK
ТЕСТ 2026; 0,27*816*925 TН435 56/28 ТЕСТ 2026; ;;T-816-925-270TH435S2856-HBI;T-816-925-270TH435S2856-HBI;;ПРЯМ;;;2026;21Е/---;;;;;0,27*816*925 TН435 56/28 2026 х;---; ;C-816---270TH435S2856-HBI;UA0000014;0.27-816-925-TH435-S2856-HBI
0,14x814x925 W/C;L-814-925-140TS550F2820-RAS-20EK05;73/70x47 W/K;;0,14x814x925 2,0/2,8 TS550;T-814-925-140TS550F2028-RAS;fff010157;ПРЯМ;900x789;1500;№91;W/C 15V;PL1019-34;DE4488-3LV;;;L-814-925-140TS550F2820-RAS-20EK05;;41211023;C-814---140TS550F2820-RAS;correct 140TS550F2028;0.14-814-925-TS550-F2028-RAS
0,14x850x925 ;L-850-924S140CH55S028028A55K45T-; ;;;;;;;;;;;;;;L-850-924S140CH55S028028A55K45T-;;41211004;;;
OT80 15VK05 Vaja;OT80-ELQ8008A3A-15VK05-121ST-180TH620F5628-HBI-62400;OT80 15VK05;UA0001650;0,18x869x881 5,6/2,8 TH620;M-869-881-180TH620F5628-HBI ;fff011268;СКРОЛЛ;903х844;1500;№98;W/C 15V;PL1019-34;;;;L-869-881-180TH620F5628-HBI-15VK05;UA0001649;48014114;С-869---180TH620F5628-HBI;fff011267;0.18-869-881-TH620-F5628-HBI 
OT62-ELQ6215A5A HBI 21E;OT062-ELQ6215A5A-21EK05-975HP-170TH435S2828-HBI-144000   ;OT62-ELQ6215A5A HBI 21E;UA0001726;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-HBI;fff008459;СКРОЛЛ;830x917;1500;62-1 A;21E;PL1019-34;DE4488-3LV;DE5449-4;;L-954-848-170TH435S2828-HBI-21EK05 ;UA0001724;48017750;C-954---170TH435S2828-HBI;fff008458;0.17-954-848-TH435-S2828-HBI
OT62-ELQ6215A5A USK 21E;OT062-ELQ6215A5A-21EK05-975HP-170TH435S2828-USK-144000   ;OT62-ELQ6215A5A USK 21E;UA0001727;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-USK;UA0000708;СКРОЛЛ;830x917;1500;62-1;21E;PL1019-34;DE4488-3LV;DE5449-4;;L-954-848-170TH435S2828-USK-21EK05   ;UA0001725;48017750;C-954---170TH435S2828-USK;UA0000706;0.17-954-848-TH435-S2828-USK
OT062-ELQ0830A9A;OT062-ELQ0830A9A-10DB05-975HP-170TH435S2828-USK-144000;OT062-ELQ0830A9A;UA0001772;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-USK;UA0000708;СКРОЛЛ;830x917;1500;№ 90-1;G/G;PL1014-59;816361;816361;;L-954-848-170TH435S2828-USK-10DB05;UA0001773;48013484;C-954---170TH435S2828-USK;UA0000706;0.17-954-848-TH435-S2828-USK
OT99-921XQ 0,22 ALU/G ARK;OT099-921XQ-220TH415F2828-ARK-A75B05-37856;OT99 0,22 ALU/G ARK;UA0001780;0,22x838x941,7 2,8/2,8 TH415;M-838-941,7-220TH415F2828-ARK;UA0001775;СКРОЛЛ;917x813;1500;№104;АLU /G;PL1014-59;28S30WB-1;;;L-838-941,7-220TH415F2828-ARK-A75B05;UA0001777;49600936;;;0.22-838-941.7-TH415-F2828-ARK
OT96 0,22 ALU/G ARK;OT096-A07B05-ARGO-220TH415F2828-ARK-39000;OT96 0,22 ALU/G ARK;UA0001779;0,22x808x908 2,8/2,8 TH415;M-808-908-220TH415F2828-ARK;UA0001776;СКРОЛЛ;900х771;1500;№105;АLU /G;PL1014-59;28S30WB-1;;;L-808-908-220TH415F2828-ARK-A07B05;UA0001778;49600242;;;0.22-808-908-TH415-F2828-ARK
0,14x850x925 W/C;L-850-925-140TS550S2828-RAS-21EK05;73/70x57 W/K;UA0001810;0,14x850x925 2,8/2,8 TS550;T-850-925-140TS550S2828-RAS;fff010158;ПРЯМ;900х825;1600;№109;W/C 21E;PL1019-34;DE4488-3LV;DE5449-4;;L-850-925-140TS550S2828-RAS-21EK05;UA0001810;41211369;;;0.14-850-925-TS550-S2828-RAS
0,16x942x790 W19/G;L-942-790-160TS345F2020-RAS-E19B05;73x34 W/G;fff011080;M-942-790-160TS340S2020-RAS;M-942-790-160TS340S2020-RAS;fff010843;СКРОЛЛ;807х888;1700;№29-1;W19/G;;;;;L-942-790-160TS345F2020-RAS-E19B05;fff011080;73x34 W19 / G;;;0.16-942-790-TS340-S2020-RAS
OT096-15V/K04   test Vaja;OT096-15V/K04-ARGO-200TH550S2828-USK-39000;OT096-15V/K04;UA0001947;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-USK;UA0000698;СКРОЛЛ;900х771;1600;№113;15V/K04;;;;;L-808-908-200TH550S2828-USK-15V/K04;UA0001938;48013854;;;0.20-808-908-TH550-S2828-USK
OT096-21E/B04   test Vaja;OT096-21E/B04-ARGO-200TH550S2828-USK-39000;OT096-21E/B04;;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-USK;UA0000698;СКРОЛЛ;900х771;1600;;21E/B04;;;;;L-808-908-200TH550S2828-USK-21E/B04;; ;;;0.20-808-908-TH550-S2828-USK
0,14x975x925 G/C;L-975-925-140TS550S2828-RAS-C06K05;73/70x57 G/K;UA0001794;0,14x975x925 2,8/2,8 TS550;T-975-925-140TS550S2828-RAS;UA0001793;ПРЯМ;900 х 950;1500;BUF-11 A;G/C;PL1019-34;101 597;;;L-975-925-140TS550S2828-RAS-C06K05;UA0001794;41211445;C-975----140TS550S2828-RAS;UA0001774;0.14-975-925-TS550-S2828-RAS
OT096 G/C  Spain;OT096-07CK05-ARGO-200TH550S2828-USK-38850;OT096 G/C;UA0002094;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-USK;UA0000698;СКРОЛЛ;900х771;1600;№114;G/C;PL1019-34;816361;;;L-808-908-200TH550S2828-USK-07CK05;UA0002095;48017842;;;0.20-808-908-TH550-S2828-USK
OT99-ELQ9999A0A ARP;OT99-ELQ9999A0A---K05-715SU-250TH415F7575-USK-42500 Hollande;OT99-ELQ9999A0A ARP;fff007544;0,25x838x826 7,5/7,5 TH415;M-838-826-250TH415F7575-USK;fff008464;СКРОЛЛ;870х820;1500;99-S-2;P/C Hollande;PL1019-34;;;;L-838-826-250TH415F7575-USK---K05 Hollande;UA0001801;48003644;C-838----250TH415F7575-USK;ффф007547;0.25-838-826-TH415-F7575-USK
0,17x840x942 BLANK;T-840-942-170TS550F2828-HBI; ;fff007244;0,17x840x942 2,8/2,8 TS550;T-840-942-170TS550F2828-HBI;fff007244;ПРЯМ;917х813;1700;---;---;---;---;---;---;---;---;40203029;;;0.17-840-942-TS550-F2828-HBI
OT62-ELQ6216A2A ver2;OT62-ELQ6216A2A-15VK05-975HP-170TH435S2828-HBI-144000;OT62-ELQ6216A2A ver2;fff008371;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-HBI;fff008459;СКРОЛЛ;830x917;1500;62-3 A;W/C 15V;PL1019-34;DE4488-3LV;;;L-954-848-170TH435S2828-HBI-15VK05;fff008461;48013808;C-954---170TH435S2828-HBI;fff008458;0.17-954-848-TH435-S2828-HBI
OT62-ELQ6216A2A  USK ver3;OT62-ELQ6216A2A-15VK05-975HP-170TH435S2828-USK-144000;OT62-ELQ6216A2A  USK ver3;UA0000710;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-USK;UA0000708;СКРОЛЛ;830x917;1500;62-3 A;W/C 15V;PL1019-34;DE4488-3LV;;;L-954-848-170TH435S2828-USK-15VK05;UA0000709;48013808;C-954----170TH435S2828-USK;UA0000706;0.17-954-848-TH435-S2828-USK
0,14x918x925 G/C;L-918-925-140TS550S2828-RAS-C06K05;73/70x47 G/K;UA0002239;0,14x918x925 2,8/2,8 TS550;T-918-925-140TS550S2828-RAS;UA0002238;ПРЯМ;900x893;1500;BUF-9 A;G/C;PL1019-34;101597;;;L-918-925-140TS550S2828-RAS-C06K05;UA0002239;41211447;C-918----140TS550S2828-RAS;UA0002144;0.14-918-925-TS550-S2828-RAS
0,14x918x925 W/C;L-918-925-140TS550S2828-RAS-21EK05;73/70x47;UA0002273;0,14x918x925 2,8/2,8 TS550;T-918-925-140TS550S2828-RAS;UA0002238;ПРЯМ;900x893;1500;BUF-10 A;W/C 21Е;PL1019-34;DE4488-3LV;DE5449-4;;L-918-925-140TS550S2828-RAS-21EK05;UA0002273;41211448;C-918----140TS550S2828-RAS;UA0002144;0.14-918-925-TS550-S2828-RAS
OT070-ELQ7022A5A 21Е;OT070-ELQ7022A5A-21ЕК05-993DE-170TH580S5628-USK-90300;OT070-ELQ7022A5A 21Е;UA0001731;0,17x922x868 5,6/2,8 TH580;M-922-868-170TH580S5628-USK;fff009165;СКРОЛЛ;884х850;1500;70-6 B;W/C 21Е;PL1019-34;DE4488-3LV;DE5449-4;;L-922-868-170TH580S5628-USK-21ЕК05;UA0001728;48017751;;;0.17-922-868-TH580-S5628-USK
0,20x838x941,7 BLANK;M-838-941,7-200TH550S2828-HBI;OT99;fff005881;0,20x838x941, 2,8/2,8 TH550;M-838-941,7-200TH550S2828-HBI;fff005881;СКРОЛЛ;820х942;1500;---;---;---;---;---;---;---;---; -;;;0.20-838-941.7-TH550-S2828-HBI
OT096 G/C HBI Spain;OT096-07CK05-ARGO-200TH550S2828-HBI-38850;OT096 G/C;UA0002298;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-HBI;fff010618;СКРОЛЛ;900х771;1600;№114-1 ;G/C;PL1019-34;816361;;;L-808-908-200TH550S2828-HBI-07CK05;UA0002297;48017842;;;0.20-808-908-TH550-S2828-HBI
"0,17x959x901 2ALU/G ЭП-547""В""";L-959-901-170TH550F2828-HBI-A08B05;OT73 2alu/g;UA0002343;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№45-1;2АLU /G;"ЭП-547""В""";28S30WB-1;;;L-959-901-170TH550F2828-HBI-A08B05;UA0002343;41002562;;;0.17-959-901-TH550-F2828-HBI
0,17x959x901 901 2w/g BPANI  ;L-959-901-170TH550F2828-HBI-21EB05;OT73 2w/g BPANI;UA0002347;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№48-1;2W/G BPANI  ;"ЭП-547""В""";DE4488-3LV;DE5449-4;;L-959-901-170TH550F2828-HBI-21EB05;UA0002347;41000855;;;0.17-959-901-TH550-F2828-HBI
OT80 21EK05 ;OT080-ELQ8008A2A-21EK05-121ST-180TH620F5628-HBI-64400;OT80 W/C 21E;UA0001732;0,18x869x881 5,6/2,8 TH620;M-869-881-180TH620F5628-HBI ;fff011268;СКРОЛЛ;903х844;1500;№117 ;W/C 21Е;PL1019-34;DE4488-3LV;DE5449-4;;L-869-881-180TH620F5628-HBI-21EK05;UA0001729;48017719;;;0.18-869-881-TH620-F5628-HBI 
OT99-921XQ 0,18 G/G PL1014-59;OT99-921XQ-180TH550S2828-HBI-C65B05-29120;OT99-921XQ 0,18 G/G;fff007837;0,18x838x941,7 2,8/2,8 TH550;M-838-941,7-180TH550S2828-HBI;fff007881;СКРОЛЛ;917x813;1500;№63-1;G/G;PL1014-59;11064;;;L-838-941,7-180TH550S2828-HBI-C65B05;fff008336;49600246;C-838---180TH550S2828-HBI;fff005454;0.18-838-941.7-TH550-S2828-HBI
0,17x922x868 TH435 BLANK;M-922-868-170TH435S2828- HBI;OT70 0,17 ;fff010620;0,17x922x868 2,8/2,8 TH435;M-922-868-170TH435S2828- HBI;fff010620;СКРОЛЛ;884х850;1500;---;---;---;---;---;---;---;---; -;;;0.17-922-868-TH435-S2828- HBI
0,17x922x868 TH520 BLANK;M-922-868-170TH520S2828- HBI;OT70 0,17 ;fff010631;0,17x922x868 2,8/2,8 TH520;M-922-868-170TH520S2828- HBI;fff010631;СКРОЛЛ;884х850;1500;---;---;---;---;---;---;---;---; -;;;0.17-922-868-TH520-S2828- HBI
OT96 Alu/C HBI auto;OT096-A07K05-ARGO-200TH550S2828-HBI-38850;OT096 0,20 ALU/C HBI;UA0002509;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-HBI;fff010618;СКРОЛЛ;900х771;1600;96-1 A;ALU/C;PL1019-34;28S30WB-1;;;L-808-908-200TH550S2828-HBI-A07K05;fff010617;48017996;;;0.20-808-908-TH550-S2828-HBI
OT96 Alu/C USK auto;OT096-A07K05-ARGO-200TH550S2828-USK-38850;OT096 0,20 ALU/C USK;UA0002510;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-USK;UA0000698;СКРОЛЛ;900х771;1600;96-1 A;ALU/C;PL1019-34;28S30WB-1;;;L-808-908-200TH550S2828-USK-A07K05;UA0000730;48017996;;;0.20-808-908-TH550-S2828-USK
0,155x821x926 TTT BLANK;T-821-926-155TH550F2828-TTT;Body 73\70-78;UA0002522;0,155x821x926 TTT BLANK;T-821-926-155TH550F2828-TTT;UA0002522;ПРЯМ;900х771;1700;---;---;---;---;---;---;---;---;;;;0.155-821-926-TH550-F2828-TTT
0,17x959x901 TTT BLANK;M-959-901-170TH550F2828-TTT;OT73 0,17 ;UA0002528;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-TTT;UA0002528;СКРОЛЛ;920х935;1500;---;---;---;---;---;---;---;---;;;;0.17-959-901-TH550-F2828-TTT
0,17x922x868 TTT BLANK;M-922-868-170TH550F2828-TTT;OT70 0,17 ;UA0002529;0,17x922x868 2,8/2,8 TH550;M-922-868-170TH550F2828-TTT;UA0002529;СКРОЛЛ;884х850;1500;---;---;---;---;---;---;---;---;;;;0.17-922-868-TH550-F2828-TTT
0,17x857x926 TTT BLANK;T-857-926-170TH550F2828-TTT;Body 73\70-32-42 (102,5) ;UA0002530;0,17x857x926 2,8/2,8 TH550;T-857-926-170TH550F2828-TTT;UA0002530;ПРЯМ;;;---;---;---;---;---;---;---;---;;;;0.17-857-926-TH550-F2828-TTT
OT99-921XQ 0,20 A55B05 auto;OT099-921XQ-200TH550S2828-HBI A55B05-42000;OT99-921XQ 0,20 A55B05 ;UA0002482;0,20x838x941, 2,8/2,8 TH550;M-838-941,7-200TH550S2828-HBI;fff005881;СКРОЛЛ;917x813;1500;99-C-1;ALU/G;PL1014-59;28S30WB-1;;;L-838-941,7-200TH550S2828-HBI-A55B05;fff010621;49600248;;;0.20-838-941.7-TH550-S2828-HBI
